cpu_name,cores,cpu_mark,thread_mark,tdp,socket,category
Intel Core i9-9900K @ 3.60GHz,8,18204,2923,95,FCLGA1151-2,Desktop
Intel Core i9-9900KF @ 3.60GHz,8,18189,2919,95,FCLGA1151-2,Desktop
Intel Core i9-9900KS @ 4.00GHz,8,19447,3034,127,FCLGA1151-2,Desktop
Intel Core i9-9900T @ 2.10GHz,8,13161,2462,35,FCLGA1151-2,Desktop
Intel Pentium Gold G5400 @ 3.70GHz,2,3733,2189,54,FCLGA1151-2,Desktop
Intel Pentium Gold G5420 @ 3.80GHz,2,3765,2241,54,FCLGA1151-2,Desktop
Intel Pentium Gold G5420T @ 3.20GHz,2,3408,1944,35,FCLGA1151-2,Desktop
Intel Pentium Gold G5500 @ 3.80GHz,2,3831,2249,54,FCLGA1151-2,Desktop
Intel Pentium Gold G5500T @ 3.20GHz,2,3311,1951,35,FCLGA1151-2,Desktop
Intel Pentium Gold G5600 @ 3.90GHz,2,3884,2275,54,FCLGA1151-2,Desktop
Intel Pentium Gold G5600F @ 3.90GHz,2,4124,2255,54,FCLGA1151-2,Desktop
Intel Pentium Gold G5620 @ 4.00GHz,2,4272,2461,54,FCLGA1151-2,Desktop
Intel Core i5-9400F @ 2.90GHz,6,9462,2432,65,FCLGA1151-2,"Desktop, Laptop"
Intel Core i7-9700TE @ 1.80GHz,8,10203,2214,35,FCLGA1151-2,"Desktop, Laptop"
Intel Celeron G1610 @ 2.60GHz,2,1532,1382,55,FCLGA1155,Desktop
Intel Celeron G1620 @ 2.70GHz,2,1571,1454,55,FCLGA1155,Desktop
Intel Celeron G1630 @ 2.80GHz,2,1707,1553,55,FCLGA1155,Desktop
Intel Core i3-2102 @ 3.10GHz,2,2029,1400,65,FCLGA1155,Desktop
Intel Core i3-3250T @ 3.00GHz,2,2650,1684,35,FCLGA1155,Desktop
Intel Pentium G2010 @ 2.80GHz,2,1617,1504,55,FCLGA1155,Desktop
Intel Pentium G2020 @ 2.90GHz,2,1694,1558,55,FCLGA1155,Desktop
Intel Pentium G2020T @ 2.50GHz,2,1430,1298,35,FCLGA1155,Desktop
Intel Pentium G2030 @ 3.00GHz,2,1755,1609,55,FCLGA1155,Desktop
Intel Pentium G2120 @ 3.10GHz,2,1896,1715,55,FCLGA1155,Desktop
Intel Pentium G2120T @ 2.70GHz,2,1613,1493,35,FCLGA1155,Desktop
Intel Pentium G2130 @ 3.20GHz,2,1917,1736,55,FCLGA1155,Desktop
Intel Pentium G840 @ 2.80GHz,2,1304,1283,65,FCLGA1155,Desktop
Intel Pentium G850 @ 2.90GHz,2,1470,1359,65,FCLGA1155,Desktop
Intel Pentium G860 @ 3.00GHz,2,1491,1387,65,FCLGA1155,Desktop
Intel Pentium G870 @ 3.10GHz,2,1561,1469,65,FCLGA1155,Desktop
Intel Celeron G1101 @ 2.27GHz,2,1086,929,73,FCLGA1156,Desktop
Intel Celeron G5900 @ 3.40GHz,2,2670,2113,58,FCLGA1200,Desktop
Intel Celeron G5900T @ 3.20GHz,2,2155,1640,35,FCLGA1200,Desktop
Intel Celeron G5905 @ 3.50GHz,2,2780,2161,58,FCLGA1200,Desktop
Intel Celeron G5905T @ 3.30GHz,2,2304,1854,35,FCLGA1200,Desktop
Intel Celeron G5920 @ 3.50GHz,2,2577,2123,58,FCLGA1200,Desktop
Intel Celeron G5925 @ 3.60GHz,2,2787,2227,58,FCLGA1200,Desktop
Intel Core i3-10100 @ 3.60GHz,4,8631,2609,65,FCLGA1200,Desktop
Intel Core i3-10100F @ 3.60GHz,4,8723,2588,65,FCLGA1200,Desktop
Intel Core i3-10105 @ 3.70GHz,4,8547,2673,65,FCLGA1200,Desktop
Intel Core i3-10105F @ 3.70GHz,4,8938,2651,65,FCLGA1200,Desktop
Intel Core i3-10105T @ 3.00GHz,4,7926,2358,35,FCLGA1200,Desktop
Intel Core i3-10300 @ 3.70GHz,4,9293,2688,65,FCLGA1200,Desktop
Intel Core i3-10300T @ 3.00GHz,4,7884,2299,35,FCLGA1200,Desktop
Intel Core i3-10305 @ 3.80GHz,4,9535,2789,65,FCLGA1200,Desktop
Intel Core i3-10305T @ 3.00GHz,4,8136,2457,35,FCLGA1200,Desktop
Intel Core i3-10320 @ 3.80GHz,4,10011,2839,65,FCLGA1200,Desktop
Intel Core i3-10325 @ 3.90GHz,4,10291,2874,65,FCLGA1200,Desktop
Intel Core i5-10400 @ 2.90GHz,6,12090,2566,65,FCLGA1200,Desktop
Intel Core i5-10400F @ 2.90GHz,6,12160,2543,65,FCLGA1200,Desktop
Intel Core i5-10400T @ 2.00GHz,6,9755,2134,35,FCLGA1200,Desktop
Intel Core i5-10500 @ 3.10GHz,6,13291,2815,65,FCLGA1200,Desktop
Intel Core i5-10500T @ 2.30GHz,6,10162,2289,35,FCLGA1200,Desktop
Intel Core i5-10505 @ 3.20GHz,6,12076,2810,65,FCLGA1200,Desktop
Intel Core i5-10600 @ 3.30GHz,6,13642,2931,65,FCLGA1200,Desktop
Intel Core i5-10600K @ 4.10GHz,6,14283,2918,125,FCLGA1200,Desktop
Intel Core i5-10600KF @ 4.10GHz,6,14189,2914,125,FCLGA1200,Desktop
Intel Core i5-10600T @ 2.40GHz,6,11472,2450,35,FCLGA1200,Desktop
Intel Core i5-11400 @ 2.60GHz,6,16968,3019,65,FCLGA1200,Desktop
Intel Core i5-11400F @ 2.60GHz,6,16971,2992,65,FCLGA1200,Desktop
Intel Core i5-11400T @ 1.30GHz,6,13487,2550,35,FCLGA1200,Desktop
Intel Core i5-11500 @ 2.70GHz,6,17223,3130,65,FCLGA1200,Desktop
Intel Core i5-11500T @ 1.50GHz,6,12392,2481,35,FCLGA1200,Desktop
Intel Core i5-11600 @ 2.80GHz,6,18011,3293,65,FCLGA1200,Desktop
Intel Core i5-11600K @ 3.90GHz,6,19556,3347,125,FCLGA1200,Desktop
Intel Core i5-11600KF @ 3.90GHz,6,19573,3333,125,FCLGA1200,Desktop
Intel Core i5-11600T @ 1.70GHz,6,14396,2849,35,FCLGA1200,Desktop
Intel Core i7-10700 @ 2.90GHz,8,16281,2899,65,FCLGA1200,Desktop
Intel Core i7-10700F @ 2.90GHz,8,16322,2876,65,FCLGA1200,Desktop
Intel Core i7-10700K @ 3.80GHz,8,18693,3046,125,FCLGA1200,Desktop
Intel Core i7-10700KF @ 3.80GHz,8,18489,3041,125,FCLGA1200,Desktop
Intel Core i7-10700T @ 2.00GHz,8,12768,2570,35,FCLGA1200,Desktop
Intel Core i7-11700 @ 2.50GHz,8,20719,3267,65,FCLGA1200,Desktop
Intel Core i7-11700F @ 2.50GHz,8,20872,3278,65,FCLGA1200,Desktop
Intel Core i7-11700K @ 3.60GHz,8,24477,3396,125,FCLGA1200,Desktop
Intel Core i7-11700KF @ 3.60GHz,8,23878,3376,125,FCLGA1200,Desktop
Intel Core i7-11700T @ 1.40GHz,8,15621,2866,35,FCLGA1200,Desktop
Intel Core i9-10850K @ 3.60GHz,10,22216,3071,125,FCLGA1200,Desktop
Intel Core i9-10900 @ 2.80GHz,10,19600,3020,65,FCLGA1200,Desktop
Intel Core i9-10900F @ 2.80GHz,10,19829,3030,65,FCLGA1200,Desktop
Intel Core i9-10900K @ 3.70GHz,10,22646,3121,125,FCLGA1200,Desktop
Intel Core i9-10900KF @ 3.70GHz,10,22439,3117,125,FCLGA1200,Desktop
Intel Core i9-10900T @ 1.90GHz,10,14818,2472,35,FCLGA1200,Desktop
Intel Core i9-10910 @ 3.60GHz,10,21429,3165,125,FCLGA1200,Desktop
Intel Core i9-11900 @ 2.50GHz,8,22563,3385,65,FCLGA1200,Desktop
Intel Core i9-11900F @ 2.50GHz,8,22193,3407,65,FCLGA1200,Desktop
Intel Core i9-11900K @ 3.50GHz,8,25099,3511,125,FCLGA1200,Desktop
Intel Core i9-11900KF @ 3.50GHz,8,24844,3533,125,FCLGA1200,Desktop
Intel Core i9-11900T @ 1.50GHz,8,18817,3305,35,FCLGA1200,Desktop
Intel Pentium Gold G6400 @ 4.00GHz,2,4128,2468,58,FCLGA1200,Desktop
Intel Pentium Gold G6400T @ 3.40GHz,2,3540,2104,35,FCLGA1200,Desktop
Intel Pentium Gold G6405 @ 4.10GHz,2,4221,2500,58,FCLGA1200,Desktop
Intel Pentium Gold G6405T @ 3.50GHz,2,3095,1804,35,FCLGA1200,Desktop
Intel Pentium Gold G6500 @ 4.10GHz,2,4140,2488,58,FCLGA1200,Desktop
Intel Pentium Gold G6500T @ 3.50GHz,2,3874,2238,35,FCLGA1200,Desktop
Intel Pentium Gold G6505 @ 4.20GHz,2,4371,2649,58,FCLGA1200,Desktop
Intel Pentium Gold G6505T @ 3.60GHz,2,3698,2271,35,FCLGA1200,Desktop
Intel Pentium Gold G6600 @ 4.20GHz,2,4287,2531,58,FCLGA1200,Desktop
Intel Pentium Gold G6605 @ 4.30GHz,2,4486,2606,58,FCLGA1200,Desktop
Intel Core i3-10100E @ 3.20GHz,4,8049,2313,65,FCLGA1200,"Desktop, Mobile/Embedded"
Intel Core i9-10900E @ 2.80GHz,10,19469,2891,65,FCLGA1200,"Desktop, Mobile/Embedded"
Intel Xeon W-1250P @ 4.10GHz,6,14355,2980,125,FCLGA1200,"Desktop, Server"
Intel Xeon W-1370 @ 2.90GHz,8,22926,3478,80,FCLGA1200,"Desktop, Server"
Intel Xeon W-1370P @ 3.60GHz,8,22596,3457,125,FCLGA1200,"Desktop, Server"
Intel Xeon W-1390P @ 3.50GHz,8,25240,3544,125,FCLGA1200,"Desktop, Server"
Intel 300,2,7254,3219,46,FCLGA1700,Desktop
Intel 300T,2,6205,2771,35,FCLGA1700,Desktop
Intel Celeron G6900T,2,3801,2286,35,FCLGA1700,Desktop
Intel Core i3-12100,4,13259,3374,60,FCLGA1700,Desktop
Intel Core i3-12100F,4,14066,3456,58,FCLGA1700,Desktop
Intel Core i3-12100T,4,12591,3276,35,FCLGA1700,Desktop
Intel Core i3-12300T,4,13150,3333,35,FCLGA1700,Desktop
Intel Core i3-13100,4,13556,3420,60,FCLGA1700,Desktop
Intel Core i3-13100F,4,14657,3610,58,FCLGA1700,Desktop
Intel Core i3-13100T,4,12924,3423,35,FCLGA1700,Desktop
Intel Core i3-14100,4,15189,3769,60,FCLGA1700,Desktop
Intel Core i3-14100F,4,15377,3793,110,FCLGA1700,Desktop
Intel Core i3-14100T,4,13715,3526,69,FCLGA1700,Desktop
Intel Core i5-12400F,6,19486,3492,65,FCLGA1700,Desktop
[Dual CPU] Intel Core i5-12400F,6,19680,3630,65,FCLGA1700,Desktop
Intel Core i5-12400T,6,15945,3333,74,FCLGA1700,Desktop
Intel Core i5-12500T,6,16496,3485,35,FCLGA1700,Desktop
Intel Core i5-12600K,10,27664,3935,150,FCLGA1700,Desktop
Intel Core i5-12600KF,10,27877,3932,150,FCLGA1700,Desktop
Intel Core i5-12600T,6,17667,3480,35,FCLGA1700,Desktop
Intel Core i5-13400,10,23441,3498,154,FCLGA1700,Desktop
Intel Core i5-13400F,10,25097,3638,148,FCLGA1700,Desktop
Intel Core i5-13400T,10,20313,3484,82,FCLGA1700,Desktop
Intel Core i5-13490F,10,27383,3888,65,FCLGA1700,Desktop
Intel Core i5-13500,14,31635,3871,65,FCLGA1700,Desktop
Intel Core i5-13500T,14,23050,3604,35,FCLGA1700,Desktop
Intel Core i5-13600,14,31711,4049,65,FCLGA1700,Desktop
Intel Core i5-13600K,14,37783,4131,125,FCLGA1700,Desktop
Intel Core i5-13600KF,14,37614,4123,125,FCLGA1700,Desktop
Intel Core i5-13600T,14,26867,3717,35,FCLGA1700,Desktop
Intel Core i5-14400,10,25364,3768,148,FCLGA1700,Desktop
Intel Core i5-14400F,10,25664,3709,148,FCLGA1700,Desktop
Intel Core i5-14400T,10,21947,3506,82,FCLGA1700,Desktop
Intel Core i5-14490F,10,28662,3873,65,FCLGA1700,Desktop
Intel Core i5-14500,14,31402,4008,65,FCLGA1700,Desktop
Intel Core i5-14500T,14,23212,3762,35,FCLGA1700,Desktop
Intel Core i5-14600,14,33299,4118,65,FCLGA1700,Desktop
Intel Core i5-14600K,14,38668,4273,125,FCLGA1700,Desktop
Intel Core i5-14600KF,14,39035,4288,125,FCLGA1700,Desktop
Intel Core i5-14600T,14,26144,3707,35,FCLGA1700,Desktop
Intel Core i7-12700,12,30611,3896,65,FCLGA1700,Desktop
Intel Core i7-12700F,12,30562,3862,65,FCLGA1700,Desktop
Intel Core i7-12700K,12,34544,4023,190,FCLGA1700,Desktop
Intel Core i7-12700KF,12,34243,4001,190,FCLGA1700,Desktop
Intel Core i7-12700T,12,21351,3598,35,FCLGA1700,Desktop
Intel Core i7-13700,16,36773,4112,65,FCLGA1700,Desktop
Intel Core i7-13700F,16,38713,4125,65,FCLGA1700,Desktop
Intel Core i7-13700K,16,46162,4347,125,FCLGA1700,Desktop
Intel Core i7-13700KF,16,46398,4357,125,FCLGA1700,Desktop
Intel Core i7-13700T,16,28401,3809,35,FCLGA1700,Desktop
Intel Core i7-13790F,16,46309,4159,65,FCLGA1700,Desktop
Intel Core i7-14700,20,42152,4271,65,FCLGA1700,Desktop
Intel Core i7-14700F,20,42243,4258,65,FCLGA1700,Desktop
Intel Core i7-14700K,20,52891,4479,125,FCLGA1700,Desktop
Intel Core i7-14700KF,20,53404,4498,125,FCLGA1700,Desktop
Intel Core i7-14700T,20,31464,3950,35,FCLGA1700,Desktop
Intel Core i9-12900,16,33982,4028,65,FCLGA1700,Desktop
Intel Core i9-12900F,16,36108,4029,65,FCLGA1700,Desktop
Intel Core i9-12900K,16,41369,4148,241,FCLGA1700,Desktop
Intel Core i9-12900KF,16,41080,4155,241,FCLGA1700,Desktop
Intel Core i9-12900T,16,29647,3803,35,FCLGA1700,Desktop
Intel Core i9-13900,24,46208,4312,65,FCLGA1700,Desktop
Intel Core i9-13900F,24,50476,4412,65,FCLGA1700,Desktop
Intel Core i9-13900K,24,58842,4614,125,FCLGA1700,Desktop
Intel Core i9-13900KF,24,58010,4597,125,FCLGA1700,Desktop
Intel Core i9-13900KS,24,61286,4734,150,FCLGA1700,Desktop
Intel Core i9-13900T,24,42746,4178,35,FCLGA1700,Desktop
Intel Core i9-14900,24,46719,4423,65,FCLGA1700,Desktop
Intel Core i9-14900F,24,46731,4491,65,FCLGA1700,Desktop
Intel Core i9-14900K,24,59317,4714,125,FCLGA1700,Desktop
Intel Core i9-14900KF,24,58970,4696,125,FCLGA1700,Desktop
Intel Core i9-14900KS,24,61539,4850,150,FCLGA1700,Desktop
Intel Core i9-14900T,24,41402,4105,35,FCLGA1700,Desktop
Intel Core i7-12700E,12,29645,3758,65,FCLGA1700,"Desktop, Mobile/Embedded"
Intel Core Ultra 5 225,10,31435,4427,65,FCLGA1851,Desktop
Intel Core Ultra 5 225F,10,30789,4498,65,FCLGA1851,Desktop
Intel Core Ultra 5 235,14,35181,4501,65,FCLGA1851,Desktop
Intel Core Ultra 5 245K,14,43486,4692,125,FCLGA1851,Desktop
Intel Core Ultra 5 245KF,14,43558,4681,125,FCLGA1851,Desktop
Intel Core Ultra 7 265K,20,58751,4847,125,FCLGA1851,Desktop
Intel Core Ultra 7 265KF,20,58621,4904,125,FCLGA1851,Desktop
Intel Core Ultra 9 285,24,53821,4909,65,FCLGA1851,Desktop
Intel Core Ultra 9 285K,24,67788,5080,125,FCLGA1851,Desktop
Intel Core Ultra 9 285T,24,39788,4720,35,FCLGA1851,Desktop
Intel Core i7-4820K @ 3.70GHz,4,6488,1957,130,FCLGA2011,Desktop
[Dual CPU] Intel Core i7-5960X @ 3.50GHz,8,20781,1663,140,FCLGA2011,Desktop
Intel Core i7-6850K @ 3.60GHz,6,11420,2399,140,FCLGA2011-3,Desktop
Intel Core i7-6900K @ 3.20GHz,8,14436,2324,140,FCLGA2011-3,Desktop
Intel Core i5-7640X @ 4.00GHz,4,7036,2535,112,FCLGA2066,Desktop
Intel Core i7-7740X @ 4.30GHz,4,9612,2692,112,FCLGA2066,Desktop
Intel Core i7-7800X @ 3.50GHz,6,12879,2385,140,FCLGA2066,Desktop
Intel Core i7-7820X @ 3.60GHz,8,17151,2524,140,FCLGA2066,Desktop
Intel Core i7-7900X @ 3.30GHz,10,21008,2455,140,FCLGA2066,Desktop
Intel Core i7-9800X @ 3.80GHz,8,18096,2572,165,FCLGA2066,Desktop
Intel Core i9-10900X @ 3.70GHz,10,22466,2674,165,FCLGA2066,Desktop
Intel Core i9-10920X @ 3.50GHz,12,26105,2718,165,FCLGA2066,Desktop
Intel Core i9-10940X @ 3.30GHz,14,27874,2663,165,FCLGA2066,Desktop
Intel Core i9-10980XE @ 3.00GHz,18,32388,2652,165,FCLGA2066,Desktop
Intel Core i9-7900X @ 3.30GHz,10,21032,2549,140,FCLGA2066,Desktop
Intel Core i9-7920X @ 2.90GHz,12,23689,2497,140,FCLGA2066,Desktop
Intel Core i9-7940X @ 3.10GHz,14,25701,2491,165,FCLGA2066,Desktop
Intel Core i9-7960X @ 2.80GHz,16,28422,2457,165,FCLGA2066,Desktop
Intel Core i9-7980XE @ 2.60GHz,18,29924,2458,165,FCLGA2066,Desktop
Intel Core i9-9820X @ 3.30GHz,10,20410,2459,165,FCLGA2066,Desktop
Intel Core i9-9900X @ 3.50GHz,10,21684,2554,165,FCLGA2066,Desktop
Intel Core i9-9920X @ 3.50GHz,12,25097,2634,165,FCLGA2066,Desktop
Intel Core i9-9940X @ 3.30GHz,14,28146,2630,165,FCLGA2066,Desktop
Intel Core i9-9960X @ 3.10GHz,16,30298,2593,165,FCLGA2066,Desktop
Intel Core i9-9980XE @ 3.00GHz,18,31784,2559,165,FCLGA2066,Desktop
Intel Xeon W-2275 @ 3.30GHz,14,27866,2751,165,FCLGA2066,Desktop
Intel Xeon W-2255 @ 3.70GHz,10,22415,2702,165,FCLGA2066,"Desktop, Server"
Intel Xeon W-3175X @ 3.10GHz,28,43850,2419,255,FCLGA3647,Desktop
Intel Xeon W-3265M @ 2.70GHz,24,34147,2585,205,FCLGA3647,"Desktop, Server"
Intel Xeon W-3323 @ 3.50GHz,12,27822,2580,220,FCLGA4189,"Desktop, Server"
AMD Ryzen 7 7840HX,12,43355,3778,55,FL1,"Desktop, Laptop"
AMD A4-3300 APU,2,942,973,65,FM1,Desktop
AMD A4-3400 APU,2,1089,1084,65,FM1,Desktop
AMD A4-3420 APU,2,1067,1119,65,FM1,Desktop
AMD A6-3500 APU,3,1432,964,65,FM1,Desktop
AMD A6-3600 APU,4,1697,909,65,FM1,Desktop
AMD A6-3620 APU,4,1864,982,65,FM1,Desktop
AMD A6-3650 APU,4,2086,1045,100,FM1,Desktop
AMD A6-3670 APU,4,2174,1147,100,FM1,Desktop
AMD A8-3800 APU,4,2049,1066,65,FM1,Desktop
AMD A8-3820 APU,4,2180,1130,65,FM1,Desktop
AMD A8-3850 APU,4,2390,1215,100,FM1,Desktop
AMD A8-3870K APU,4,2328,1210,100,FM1,Desktop
AMD Athlon II X4 631 Quad-Core,4,2122,1115,100,FM1,Desktop
AMD Athlon II X4 638 Quad-Core,4,2260,1158,65,FM1,Desktop
AMD Athlon II X4 641 Quad-Core,4,2313,1189,100,FM1,Desktop
AMD Athlon II X4 651 Quad-Core,4,2500,1287,100,FM1,Desktop
AMD E2-3200 APU,2,968,971,65,FM1,Desktop
AMD Sempron X2 198 Dual-Core,2,930,1070,65,FM1,Desktop
AMD A10-5700 APU,2,2742,1429,65,FM2,Desktop
AMD A10-5800B APU,2,3049,1585,100,FM2,Desktop
AMD A10-5800K APU,2,2955,1492,100,FM2,Desktop
AMD A10-6700 APU,4,3112,1606,65,FM2,Desktop
AMD A10-6700T APU,2,2299,1290,45,FM2,Desktop
AMD A10-6790K APU,2,3103,1559,100,FM2,Desktop
AMD A10-6800B APU,2,3155,1666,100,FM2,Desktop
AMD A10-6800K APU,2,3188,1594,100,FM2,Desktop
AMD A4-4000 APU,1,1152,1137,65,FM2,Desktop
AMD A4-4020 APU,2,1268,1220,65,FM2,Desktop
AMD A4-5300 APU,2,1365,1338,65,FM2,Desktop
AMD A4-5300B APU,2,1254,1241,65,FM2,Desktop
AMD A4-6300 APU,1,1422,1396,65,FM2,Desktop
AMD A4-6320 APU,1,1530,1529,65,FM2,Desktop
AMD A4-7300 APU,1,1534,1480,65,FM2,Desktop
AMD A6-5400B APU,1,1459,1408,65,FM2,Desktop
AMD A6-5400K APU,1,1274,1265,65,FM2,Desktop
AMD A6-6400B APU,1,1616,1608,65,FM2,Desktop
AMD A6-6400K APU,1,1507,1446,65,FM2,Desktop
AMD A6-6420B APU,1,1550,1629,65,FM2,Desktop
AMD A6-6420K APU,2,1565,1546,65,FM2,Desktop
AMD A8-5500 APU,2,2610,1333,65,FM2,Desktop
AMD A8-5500B APU,2,2613,1325,65,FM2,Desktop
AMD A8-5600K APU,4,2865,1430,100,FM2,Desktop
AMD A8-6500 APU,2,2826,1474,65,FM2,Desktop
AMD A8-6500B APU,2,2880,1504,65,FM2,Desktop
AMD A8-6500T APU,2,1983,1139,45,FM2,Desktop
AMD A8-6600K APU,2,3000,1533,100,FM2,Desktop
AMD Athlon X2 340 Dual Core,2,1324,1252,65,FM2,Desktop
AMD Athlon X4 730,2,2278,937,65,FM2,Desktop
AMD Athlon X4 740 Quad Core,2,2637,1355,65,FM2,Desktop
AMD Athlon X4 750 Quad Core,4,2625,1497,65,FM2,Desktop
AMD Athlon X4 760K Quad Core,2,2980,1533,100,FM2,Desktop
AMD FirePro A320 APU,4,2153,1193,100,FM2,Desktop
AMD FX-670K Quad-Core,2,2980,1578,65,FM2,Desktop
AMD Sempron 240,2,1278,1300,65,FM2,Desktop
AMD A10 PRO-7800B APU,2,3309,1496,65,FM2+,Desktop
AMD A10 PRO-7850B APU,2,3441,1565,95,FM2+,Desktop
AMD A10-7700K APU,2,3203,1432,95,FM2+,Desktop
AMD A10-7800 APU,2,3212,1458,65,FM2+,Desktop
AMD A10-7850K APU,2,3397,1497,95,FM2+,Desktop
AMD A10-7860K,2,3271,1484,65,FM2+,Desktop
AMD A10-7870K,2,3492,1530,95,FM2+,Desktop
AMD A10-7890K,2,3536,1573,95,FM2+,Desktop
AMD A10-8750,2,3230,1511,65,FM2+,Desktop
AMD A4 PRO-7350B,1,1544,1438,65,FM2+,Desktop
AMD A6 PRO-7400B,1,1640,1494,65,FM2+,Desktop
AMD A6-7400K APU,2,1635,1434,65,FM2+,Desktop
AMD A6-7470K,1,1799,1576,65,FM2+,Desktop
AMD A6-7480,2,1808,1528,65,FM2+,Desktop
AMD A6-8550,2,1762,1546,65,FM2+,Desktop
AMD A8 PRO-7600B APU,4,2966,1391,65,FM2+,Desktop
AMD A8-7500,2,3422,1410,65,FM2+,Desktop
AMD A8-7600 APU,2,3213,1444,65,FM2+,Desktop
AMD A8-7650K,2,3122,1405,65,FM2+,Desktop
AMD A8-7670K,4,3213,1493,95,FM2+,Desktop
AMD A8-7690K,4,2157,1441,95,FM2+,Desktop
AMD A8-8650,4,2996,1483,65,FM2+,Desktop
AMD Athlon X2 450,2,1295,878,65,FM2+,Desktop
AMD Athlon X4 830,2,2901,1292,65,FM2+,Desktop
AMD Athlon X4 840,2,3319,1487,65,FM2+,Desktop
AMD Athlon X4 845,2,3781,1670,65,FM2+,Desktop
AMD Athlon X4 860K,2,3435,1525,95,FM2+,Desktop
AMD Athlon X4 870K,2,3410,1558,95,FM2+,Desktop
AMD Athlon X4 880K,2,3663,1633,95,FM2+,Desktop
AMD FX-770K Quad-Core,2,3092,1475,65,FM2+,Desktop
AMD PRO A10-8750B,2,2984,1336,65,FM2+,Desktop
AMD PRO A10-8850B,2,3752,1611,95,FM2+,Desktop
AMD PRO A4-8350B,1,1690,1437,65,FM2+,Desktop
AMD PRO A6-8550B,1,1882,1631,65,FM2+,Desktop
AMD PRO A8-8650B,4,3181,1477,65,FM2+,Desktop
AMD Ryzen Embedded R1606G,2,4135,1897,15,FP5,"Desktop, Mobile/Embedded"
AMD Ryzen Embedded V1756B,4,8009,2023,45,FP5,"Desktop, Mobile/Embedded"
AMD Ryzen 3 PRO 4200G,4,10831,2554,65,FP6,Desktop
AMD Ryzen Embedded V2546,6,16236,2513,NA,FP6,Desktop
AMD Ryzen 3 7335U,4,12549,3036,28,FP7,"Desktop, Laptop"
AMD Ryzen 5 8640HS,6,19959,3590,28,"FP7 , FP7r2 , FP","Desktop, Laptop"
AMD Ryzen 5 8645HS,6,22745,3659,45,"FP7 , FP7r2 , FP","Desktop, Laptop"
AMD Ryzen 5 8540U,6,18425,3661,28,FP7 FP7r2,"Desktop, Laptop"
AMD Ryzen 5 PRO 8540U,6,18175,3578,28,FP7 FP7r2,"Desktop, Laptop, Mobile/Embedded"
AMD Ryzen 5 PRO 8640HS,6,22279,3729,28,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 7 PRO 8840U,8,24452,3750,28,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 7 PRO 8845HS,8,28847,3793,45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 9 PRO 8945HS,8,29255,3959,45,FP7 FP7r2,"Desktop, Laptop, Server"
AMD Ryzen 5 8640U,6,20599,3555,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 5 PRO 7640U,6,21287,3726,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8745HS,8,29365,3806,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8840HS,8,24454,3584,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8840U,8,23602,3603,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8845H,8,26698,3487,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 8845HS,8,28735,3770,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 7 PRO 8840HS,8,27144,3726,28,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 9 8945H,8,29933,3933,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 9 8945HS,8,30085,3864,45,FP7 FP7r2 FP8,"Desktop, Laptop"
AMD Ryzen 3 8440U,4,12805,3648,28,"FP7, FP7r2","Desktop, Laptop"
AMD Ryzen 3 PRO 7335U,4,12463,3103,30,FP7r2,"Desktop, Laptop"
AMD Ryzen 5 7235HS,4,12024,2829,45,FP7r2,"Desktop, Laptop"
AMD Ryzen 7 7435HS,8,23575,3192,45,FP7r2,"Desktop, Laptop"
AMD Ryzen 7 250,8,23552,3868,28,FP8,Desktop
AMD Ryzen 5 230,6,19681,2865,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 7 PRO 350,8,23473,4111,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 7 PRO 360,8,21361,3929,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 365,10,29493,3798,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX 370,12,35185,3968,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX 375,12,31950,3916,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX PRO 370,12,33272,4195,28,FP8,"Desktop, Laptop"
AMD Ryzen AI 9 HX PRO 375,12,32400,3648,28,FP8,"Desktop, Laptop"
AMD R-272F APU,2,1215,1087,35,FS1,"Desktop, Laptop"
AMD Athlon X2 Dual Core BE-2400,2,674,749,18,FT1,Desktop
AMD E2-1800 APU,2,446,524,18,FT1,Desktop
AMD E-350,2,425,487,18,FT1,"Desktop, Laptop"
AMD E-350 APU,2,423,490,18,FT1 BGA,"Desktop, Laptop"
Intel Core i3-6098P @ 3.60GHz,2,3995,2097,54,LGA 1151,Desktop
