drive_name,size,disk_mark,type
001-1CH164,1.8 TB,989,HDD
128GB NVME EVM,119.2 GB,5486,SSD
2-Power SSD2041A 120GB,111.8 GB,2795,SSD
2-Power SSD2042A 240GB,223.6 GB,3361,SSD
2-Power SSD2042B 256GB,238.5 GB,3367,SSD
2-Power SSD2043A 480GB,447.1 GB,2597,SSD
2-Power SSD2043B 512GB,476.9 GB,3577,SSD
2-Power SSD7013A 512GB,476.9 GB,16841,SSD
2.5 SSD 480GB,447.1 GB,1989,SSD
"2.5"" SSD 3TE7",111.8 GB,1868,SSD
"2.5"" SSD 3TG6-P",447.1 GB,3391,SSD
2500 Micron 1024GB,953.9 GB,40355,SSD
2500 Micron 512GB,476.9 GB,31022,SSD
2550 Micron 1024GB,953.9 GB,32936,SSD
2550 Micron 256GB,238.5 GB,23901,SSD
2550 Micron 512GB,476.9 GB,27392,SSD
2710DCS23BF-128,119.2 GB,3477,SSD
2TB SSD,1.9 TB,41620,SSD
30TT253X2-1TB,953.9 GB,3018,SSD
30TT253X2-512GB,476.9 GB,2751,SSD
311CD0512GB,476.9 GB,17548,SSD
321JN1024GB,953.9 GB,35479,SSD
3460 NVMe Micron 1024GB,953.9 GB,18333,SSD
3460 NVMe Micron 512GB,476.9 GB,16545,SSD
35TTFP6PCIE-1TB,953.9 GB,11807,SSD
35TTFP6PCIE-256G,238.5 GB,12997,SSD
35TTFP6PCIE-512G,476.9 GB,10978,SSD
3E128-TS2-550B01,93.1 GB,3563,SSD
3Q SSD S220-128GB,111.8 GB,2156,SSD
3Q SSD S220-64GB,55.9 GB,1816,SSD
500GB-PRO-X-SS,465.8 GB,11138,SSD
511BS0256GB,238.5 GB,13052,SSD
511BS0512GB,476.9 GB,20893,SSD
511BS0512HB,476.9 GB,14042,SSD
512GB PCS PCIe M,476.9 GB,22159,HDD
51RISC 256GB,238.5 GB,2548,SSD
660p SSDPEKNW512G8 NVMe INTEL 512GB,476.9 GB,11575,SSD
670p SSDPEKNU512GZ NVMe INTEL 512GB,476.9 GB,16004,SSD
690 NEO Pro M.2 256GB,238.5 GB,3760,SSD
7335943:ICDPC5ED2ORA6.4T,2.9 TB,14178,SSD
"980Plus 2.5""3-256GB SSD",238.5 GB,2907,SSD
"980Plus 2.5""3-512GB SSD",476.9 GB,3027,SSD
980Plus M.2 2242-64GB,59.6 GB,2160,SSD
99IB3321-ASL SSD 480G,447.1 GB,2549,SSD
Aarvex 256GB SSD,238.5 GB,5749,SSD
AATO-50-1TCI,953.9 GB,30739,SSD
AATO-50-512GCI,476.9 GB,25797,SSD
ABSNE19512GB,476.9 GB,23828,SSD
ABSSDNVMe512GB,476.9 GB,19048,SSD
ACCLAMATOR SSD 1TB,953.9 GB,31333,SSD
ACCLAMATOR SSD 256GB,238.5 GB,11240,SSD
ACCLAMATOR SSD 2TB,1.9 TB,21454,SSD
ACCLAMATOR SSD 480GB,447.1 GB,4055,SSD
ACCLAMATOR SSD 512GB,476.9 GB,22556,SSD
Acer FA100 TB1B NVMe PCIe,953.9 GB,16445,SSD
Acer SSD FA100 128GB,119.2 GB,5179,SSD
Acer SSD FA100 1TB,953.9 GB,20132,SSD
Acer SSD FA100 256GB,238.5 GB,13070,SSD
Acer SSD FA100 2TB,1.9 TB,19953,SSD
Acer SSD FA100 512GB,476.9 GB,18841,SSD
Acer SSD FA200 1TB,931.5 GB,40068,HDD
Acer SSD FA200 2TB,1.8 TB,38614,SSD
Acer SSD FA200 4TB,3.6 TB,38782,SSD
Acer SSD N5000 2TB,1.9 TB,37830,SSD
Acer SSD N7000 2TB,1.8 TB,47647,SSD
Acer SSD RE 100 2.5 512GB,476.9 GB,3731,SSD
Acer SSD RE100 2.5 128GB,119.2 GB,3557,SSD
Acer SSD RE100 2.5 256GB,238.5 GB,3299,SSD
Acer SSD RE100 2.5 512GB,476.9 GB,3607,SSD
Acer SSD SA100 120GB,111.8 GB,3701,SSD
Acer SSD SA100 1920GB,1.7 TB,3571,SSD
Acer SSD SA100 240GB,223.6 GB,3334,SSD
Acer SSD SA100 480GB,447.1 GB,3025,SSD
ACPI SSD2F-M SSD 120GB,111.8 GB,1364,SSD
ACPI SSD2F-M SSD 240GB,223.6 GB,2661,SSD
ACPI SSD2F-M SSD 64GB,59.6 GB,2394,SSD
ADATA FALCON,1.9 TB,19054,HDD
ADATA FALCON,953.9 GB,17251,HDD
ADATA FALCON,476.9 GB,14949,SSD
ADATA FALCON,238.5 GB,10254,HDD
ADATA ICFP301-512GP,476.9 GB,11164,HDD
ADATA IM2P32A8-128GCTB5,119.2 GB,6907,SSD
ADATA IM2P32A8-256GCTB5,238.5 GB,11901,SSD
ADATA IM2P33F8-256GD,238.5 GB,9977,SSD
ADATA IM2S3164-128GCTB5,119.2 GB,3511,SSD
ADATA IM2S3164-256GCTB5,238.5 GB,3794,SSD
ADATA IM2S3168-128GP,119.2 GB,3826,SSD
ADATA IM2S3168-256GP,238.5 GB,4783,SSD
ADATA IM2S3338-128GD2,119.2 GB,3780,SSD
ADATA LEGEND 700,1.9 TB,15273,SSD
ADATA LEGEND 700,953.9 GB,14423,SSD
ADATA LEGEND 700,476.9 GB,14235,SSD
ADATA LEGEND 700,238.5 GB,12763,SSD
ADATA LEGEND 700 GOLD,1.9 TB,14950,SSD
ADATA LEGEND 700 GOLD,953.9 GB,13928,SSD
ADATA LEGEND 700 GOLD,476.9 GB,13113,SSD
ADATA LEGEND 710,953.9 GB,17478,SSD
ADATA LEGEND 710,1.9 TB,17196,SSD
ADATA LEGEND 710,476.9 GB,15295,SSD
ADATA LEGEND 710,238.5 GB,13563,SSD
ADATA LEGEND 740,931.5 GB,21576,SSD
ADATA LEGEND 740,465.8 GB,18307,SSD
ADATA LEGEND 740,232.9 GB,16148,SSD
ADATA LEGEND 750,931.5 GB,22894,SSD
ADATA LEGEND 750,465.8 GB,18578,SSD
ADATA LEGEND 800,465.8 GB,22377,SSD
ADATA LEGEND 800,1.8 TB,21803,SSD
ADATA LEGEND 800,931.5 GB,20732,SSD
ADATA LEGEND 800 GOLD,1.8 TB,22549,SSD
ADATA LEGEND 800 GOLD,931.5 GB,20515,SSD
ADATA LEGEND 820,953.9 GB,28335,SSD
ADATA LEGEND 840,953.9 GB,31033,SSD
ADATA LEGEND 840,476.9 GB,29349,SSD
ADATA LEGEND 850,1.9 TB,28108,SSD
ADATA LEGEND 850,953.9 GB,26743,SSD
ADATA LEGEND 850,476.9 GB,22592,SSD
ADATA LEGEND 850 LITE,1.8 TB,31798,SSD
ADATA LEGEND 850 LITE,931.5 GB,26665,SSD
ADATA LEGEND 850 LITE,465.8 GB,24653,SSD
ADATA LEGEND 860,1.8 TB,46730,SSD
ADATA LEGEND 860,931.5 GB,32106,SSD
ADATA LEGEND 900,953.9 GB,42645,SSD
ADATA LEGEND 900,1.9 TB,42418,SSD
ADATA LEGEND 900,476.9 GB,29627,SSD
ADATA LEGEND 960,3.7 TB,46264,SSD
ADATA LEGEND 960,1.9 TB,44946,SSD
ADATA LEGEND 960,953.9 GB,42549,SSD
ADATA LEGEND 970,931.5 GB,52751,SSD
ADATA LEGEND 970 PRO,1.9 TB,39702,SSD
ADATA Permeir SP800 32GB,29.8 GB,1119,SSD
ADATA Permier SP550 120GB,111.8 GB,3624,SSD
ADATA Permier SP550 240GB,223.6 GB,3760,SSD
ADATA Permier SP550 480GB,447.1 GB,3918,SSD
ADATA Permier SP550 960GB,894.3 GB,3944,SSD
ADATA Permier SP550 M.2 240GB,223.6 GB,4139,SSD
ADATA Permier SP550 M.2 480GB,447.1 GB,4549,SSD
ADATA Permier SP600 32GB,29.8 GB,945,SSD
ADATA Permier SP600 64GB,59.6 GB,1515,SSD
ADATA Premier Pro SP300 32GB,29.8 GB,1469,SSD
ADATA Premier Pro SP900 128GB,119.2 GB,2597,SSD
ADATA Premier Pro SP900 256GB,238.5 GB,3649,SSD
ADATA Premier Pro SP900 512GB,476.9 GB,3797,SSD
ADATA Premier Pro SP900 64GB,59.6 GB,2214,SSD
ADATA Premier Pro SP900 M.2 2242 256GB,238.5 GB,3075,SSD
ADATA Premier Pro SP900 M.2 2280 128GB,119.2 GB,3169,SSD
ADATA Premier Pro SP900 M.2 2280 256GB,238.5 GB,3845,SSD
ADATA Premier Pro SP900 M.2 2280 512GB,476.9 GB,3648,SSD
ADATA Premier SP600 128GB,119.2 GB,2366,SSD
ADATA Premier SP600 256GB,238.5 GB,2906,SSD
ADATA Premier SP600 512GB,476.9 GB,2874,SSD
ADATA Premier SP600 M.2 128GB,119.2 GB,2449,SSD
ADATA S396 30GB,29.8 GB,1174,SSD
ADATA S510 120GB,111.8 GB,2343,SSD
ADATA S510 60GB,55.9 GB,1684,SSD
ADATA S511 120GB,111.8 GB,3336,SSD
ADATA S511 60GB,55.9 GB,2423,SSD
ADATA S596 Turbo,59.6 GB,959,SSD
ADATA S596 Turbo,29.8 GB,956,SSD
ADATA S599 115GB,107.1 GB,1764,SSD
ADATA S599 128GB,111.8 GB,1663,SSD
ADATA S599 40GB,37.3 GB,1285,SSD
ADATA S599 55GB,51.2 GB,939,SSD
ADATA SP 900,238.5 GB,3177,SSD
ADATA SP 900,59.6 GB,2334,SSD
ADATA SP 900NS38,238.5 GB,3856,SSD
ADATA SP 920SS,238.5 GB,3289,SSD
ADATA SP 920SS,119.2 GB,2102,SSD
ADATA SP310,238.5 GB,2546,SSD
ADATA SP310,119.2 GB,2214,SSD
ADATA SP310,59.6 GB,1698,SSD
ADATA SP580,223.6 GB,3272,SSD
ADATA SP580,447.1 GB,2938,SSD
ADATA SP580,111.8 GB,2208,SSD
ADATA SP610,953.9 GB,3888,SSD
ADATA SP610,476.9 GB,3520,SSD
ADATA SP610,238.5 GB,3245,SSD
ADATA SP610,119.2 GB,2691,SSD
ADATA SP910SS,119.2 GB,1740,SSD
ADATA SP920SS,476.9 GB,3873,SSD
ADATA SP920SS,238.5 GB,3239,SSD
ADATA SP920SS,119.2 GB,2461,SSD
ADATA SS D S599 128GB,111.8 GB,1997,SSD
ADATA SSD DM900 128GB-DL4,119.2 GB,3248,SSD
ADATA SSD DM900 512GB-DL4,476.9 GB,4257,SSD
ADATA SSD DP900 128GB-,119.2 GB,1946,SSD
ADATA SSD DP900 256GB-,238.5 GB,3840,SSD
ADATA SSD DP900 256GB-DL3,238.5 GB,3650,SSD
ADATA SSD DP900 512GB-,476.9 GB,3913,SSD
ADATA SSD DP900 512GB-DL3,476.9 GB,3647,SSD
ADATA SSD DP910 1TB-DL,931.5 GB,3727,SSD
ADATA SSD DP910 1TB-DL3,931.5 GB,3354,SSD
ADATA SSD S510 120GB,111.8 GB,2593,SSD
ADATA SSD S510 120GB-D,111.8 GB,2836,SSD
ADATA SSD S510 60GB,55.9 GB,1266,SSD
ADATA SSD S510 60GB-DL2,55.9 GB,2089,SSD
ADATA SSD S511 120GB,111.8 GB,3191,SSD
ADATA SSD S511 60GB,59.6 GB,2968,SSD
ADATA SSD S599 100GB,93.2 GB,1120,SSD
ADATA SSD S599 128GB,111.8 GB,1629,SSD
ADATA SSD S599 256GB,223.6 GB,1698,SSD
ADATA SU600,111.8 GB,3531,SSD
ADATA SU630,1.7 TB,3996,SSD
ADATA SU630,894.3 GB,3910,SSD
ADATA SU630,447.1 GB,3331,SSD
ADATA SU630,223.6 GB,3062,SSD
ADATA SU635,447.1 GB,3445,SSD
ADATA SU635,894.3 GB,3419,SSD
ADATA SU635,223.6 GB,3184,SSD
ADATA SU650,953.9 GB,4150,SSD
ADATA SU650,476.9 GB,4010,SSD
ADATA SU650,236 GB,3646,SSD
ADATA SU650,894.3 GB,3543,SSD
ADATA SU650,447.1 GB,3399,SSD
ADATA SU650,223.6 GB,3262,SSD
ADATA SU650,111.8 GB,2977,SSD
ADATA SU650NS38,476.9 GB,4161,SSD
ADATA SU650NS38,238.5 GB,4099,SSD
ADATA SU650NS38,953.9 GB,4089,SSD
ADATA SU650NS38,447.1 GB,3285,SSD
ADATA SU650NS38,223.6 GB,3169,SSD
ADATA SU650NS38,111.8 GB,3013,SSD
ADATA SU655,447.1 GB,3412,SSD
ADATA SU655,223.6 GB,3271,SSD
ADATA SU655,894.3 GB,3065,SSD
ADATA SU655,111.8 GB,2872,SSD
ADATA SU670,465.8 GB,4255,SSD
ADATA SU680,476.9 GB,4440,SSD
ADATA SU680,238.5 GB,3681,SSD
ADATA SU680,953.9 GB,2805,SSD
ADATA SU700,223.6 GB,2852,SSD
ADATA SU700,111.8 GB,2262,SSD
ADATA SU720,465.8 GB,3874,SSD
ADATA SU720,931.5 GB,3381,SSD
ADATA SU740,465.8 GB,3612,SSD
ADATA SU750,238.5 GB,3929,SSD
ADATA SU750,476.9 GB,3801,SSD
ADATA SU750,953.9 GB,3727,SSD
ADATA SU760,953.9 GB,4304,SSD
ADATA SU760,238.5 GB,3984,SSD
ADATA SU760,476.9 GB,3948,SSD
ADATA SU800 256G,238.5 GB,2171,SSD
ADATA SU800 M.2 SSD 128GB,119.2 GB,3364,SSD
ADATA SU800 M.2 SSD 1TB,953.9 GB,4819,SSD
ADATA SU800 M.2 SSD 256GB,238.5 GB,3924,SSD
ADATA SU800 M.2 SSD 512GB,476.9 GB,4276,SSD
ADATA SU800 SSD 128GB,119.2 GB,3120,SSD
ADATA SU800 SSD 1TB,953.9 GB,4229,SSD
ADATA SU800 SSD 256GB,238.5 GB,3828,SSD
ADATA SU800 SSD 2TB,1.9 TB,4325,SSD
ADATA SU800 SSD 512GB,476.9 GB,4291,SSD
ADATA SU810NS38 128 GB,119.2 GB,3529,SSD
ADATA SU810NS38 256 GB,238.5 GB,4082,SSD
ADATA SU900,953.9 GB,4528,SSD
ADATA SU900,476.9 GB,3875,SSD
ADATA SU900,238.5 GB,3446,SSD
ADATA SU900,119.2 GB,3175,SSD
ADATA SWORDFISH,465.8 GB,13676,SSD
ADATA SWORDFISH,1.8 TB,12924,HDD
ADATA SWORDFISH,931.5 GB,12533,SSD
ADATA SWORDFISH,232.9 GB,11154,HDD
ADATA SX 910,119.2 GB,3672,SSD
ADATA SX 930,223.6 GB,3288,SSD
ADATA SX 930,111.8 GB,2476,SSD
ADATA SX300,119.2 GB,3212,SSD
ADATA SX300,238.5 GB,3056,SSD
ADATA SX300,59.6 GB,2234,SSD
ADATA SX6000LNP,476.9 GB,13106,SSD
ADATA SX6000LNP,953.9 GB,12705,SSD
ADATA SX6000LNP,238.5 GB,10251,SSD
ADATA SX6000LNP,119.2 GB,8320,SSD
ADATA SX6000NP,953.9 GB,6741,SSD
ADATA SX6000NP,238.5 GB,6129,SSD
ADATA SX6000NP,476.9 GB,6025,SSD
ADATA SX6000NP,119.2 GB,4969,SSD
ADATA SX6000PNP,476.9 GB,14121,SSD
ADATA SX6000PNP,953.9 GB,14057,SSD
ADATA SX6000PNP,238.5 GB,12389,SSD
ADATA SX7000NP,476.9 GB,8684,SSD
ADATA SX7000NP,238.5 GB,7817,SSD
ADATA SX7000NP,953.9 GB,7194,SSD
ADATA SX7000NP,119.2 GB,4184,SSD
ADATA SX8100NP,1.9 TB,20832,SSD
ADATA SX8100NP,953.9 GB,20323,SSD
ADATA SX8100NP,476.9 GB,19712,SSD
ADATA SX8100NP,3.6 TB,19264,SSD
ADATA SX8100NP,238.5 GB,14342,SSD
ADATA SX8200NP,894.3 GB,16324,SSD
ADATA SX8200NP,447.1 GB,14614,SSD
ADATA SX8200NP,223.6 GB,11048,SSD
ADATA SX8200PNP,1.9 TB,20427,SSD
ADATA SX8200PNP,953.9 GB,19136,SSD
ADATA SX8200PNP,476.9 GB,17267,SSD
ADATA SX8200PNP,238.5 GB,14251,SSD
ADATA SX850,238.5 GB,3683,SSD
ADATA SX850,119.2 GB,3610,SSD
ADATA SX8600 PRO,1.9 TB,22803,SSD
ADATA SX8600 PRO,953.9 GB,21679,SSD
ADATA SX8800PNP,953.9 GB,17190,SSD
ADATA SX8800PNP,476.9 GB,15680,SSD
ADATA SX910,238.5 GB,4251,SSD
ADATA SX910,119.2 GB,3087,SSD
ADATA SX910 128GB,119.2 GB,3583,SSD
ADATA SX910 512GB,476.9 GB,4750,SSD
ADATA SX930,223.6 GB,3536,SSD
ADATA SX930,447.1 GB,3493,SSD
ADATA SX930,111.8 GB,3142,SSD
ADATA SX950,447.1 GB,4420,SSD
ADATA SX950,223.6 GB,4240,SSD
ADATA XM11 128GB,111.8 GB,3202,SSD
ADATA XM11 128GB,119.2 GB,3010,SSD
ADATA XM11 128GB-V3,119.2 GB,3338,SSD
ADATA XM11 256GB-V3,238.5 GB,4155,SSD
ADATA XM13 30GB,28 GB,1514,SSD
ADATA XM13 60GB,55.9 GB,1974,SSD
ADATA XM14 128GB,119.2 GB,3220,SSD
ADATA XM14 256GB,238.5 GB,3574,SSD
ADATA XM21E,119.2 GB,2247,SSD
ADATA XPG SSD 32GB,30.1 GB,783,SSD
ADATA XPG SX300 128GB,119.2 GB,3202,SSD
ADATA XPG SX8000 128GB,119.2 GB,5097,SSD
ADATA XPG SX8000 1TB,953.9 GB,12427,SSD
ADATA XPG SX8000 256GB,238.5 GB,9624,SSD
ADATA XPG SX8000 512GB,476.9 GB,11355,SSD
ADATA XPG SX900 128GB,119.2 GB,3321,SSD
ADATA XPG SX900 256GB,238.5 GB,4087,SSD
ADATA XPG SX900 512GB,476.9 GB,3910,SSD
ADATA XPG SX900 64GB,59.6 GB,2345,SSD
ADATA XPG SX910 128GB,119.2 GB,1959,SSD
addlink M.2 PCIE G3x4 NVMe,1.9 TB,24203,SSD
addlink M.2 PCIE G3x4 NVMe RGB,1.9 TB,17755,SSD
addlink M.2 PCIE G3x4 NVMe RGB,953.9 GB,16889,SSD
addlink M.2 PCIE G4x4 NVMe,3.6 TB,43690,SSD
addlink M.2 PCIE G4x4 NVMe,1.8 TB,35366,SSD
addlink M.2 PCIE G4x4 NVMe,931.5 GB,32465,SSD
addlink M.2 PCIE G5x4 NVMe,931.5 GB,55942,SSD
addlink S70 M.2 G3x4 1TB,953.9 GB,20150,SSD
addlink S70 M.2 G3x4 256GB,238.5 GB,11142,SSD
addlink S70 M.2 G3x4 512GB,476.9 GB,15591,SSD
addlink SSD,238.5 GB,3420,SSD
addlink SSD,953.9 GB,3388,SSD
addlink SSD S10 120GB,111.8 GB,2495,SSD
addlink SSD S10 256GB,238.5 GB,3531,SSD
addlink SSD S10 512GB,476.9 GB,3190,SSD
ADROITLARK SSD 480GB,447.1 GB,4001,SSD
AEGO SSD 120GB,111.8 GB,3407,SSD
AEGO SSD 240GB,223.6 GB,3477,SSD
AFOX 120GB,111.8 GB,2445,SSD
AFOX 240GB,223.6 GB,2241,SSD
AFOX 256GB,238.5 GB,4588,SSD
AFOX 480GB,447.1 GB,4124,SSD
AFOX SSD 120GB,111.8 GB,2271,SSD
AFOX SSD 128GB,119.2 GB,2589,SSD
AFOX SSD 240GB,223.6 GB,2462,SSD
AFOX SSD 256GB,223.6 GB,2585,SSD
AFOX SSD ME300-1000GN,931.5 GB,11565,SSD
AFOX SSD SD250-120GN,111.8 GB,2834,SSD
AFOX SSD SD250-240GN,223.6 GB,3100,SSD
AFOX SSD SD250-480GB,447.1 GB,2565,SSD
AFOX SSD SD250-480GQN,447.1 GB,3418,SSD
AFTERSHOCK 512GB M.2 SSD,476.9 GB,2192,SSD
Aftershock Hyperspeed Gen4 1TB,953.9 GB,29716,SSD
AGAMMIXS70B-4T-CS,3.7 TB,51583,SSD
AGI SSD M.2 PCIe NVMe 512GB,476.9 GB,10757,SSD
AGI120G06AI138,111.8 GB,2466,SSD
AGI1K0GIMAI238,931.5 GB,3718,SSD
AGI1T0G16AI198,953.9 GB,10694,SSD
AGI1T0G43AI818,953.9 GB,26886,SSD
AGI1T0GBUAI298,953.9 GB,19056,SSD
AGI1T0GIMAI218,953.9 GB,17949,SSD
AGI1T0GIMAI298,953.9 GB,18084,SSD
AGI240G06AI138,223.6 GB,2645,SSD
AGI250GIMAI238,232.9 GB,2795,SSD
AGI256G06AI138,238.5 GB,2900,SSD
AGI256G16AI198,238.5 GB,11278,SSD
AGI2T0G43AI818,1.9 TB,32851,SSD
AGI512G17AI178,476.9 GB,2929,SSD
AGI512GIMAI218,476.9 GB,16981,SSD
AGI512GIMAI298,476.9 GB,15535,SSD
AGI960G17AI178,894.3 GB,3379,SSD
agile,238.5 GB,3127,SSD
aigo NVMe SSD P7000Z 1TB,931.5 GB,41589,SSD
aigo NVMe SSD P7000Z 2TB,1.9 TB,44007,SSD
AirDisk 128GB SSD,119.2 GB,4068,SSD
AirDisk 1TB SSD,953.9 GB,18905,SSD
AirDisk 256GB SSD,238.5 GB,6574,SSD
AirDisk 512GB SSD,476.9 GB,14236,SSD
AirDisk APF10-512G,476.9 GB,20125,SSD
Aireye S 1 120GB SSD,111.8 GB,2222,SSD
Aireye S1 120GB SSD,111.8 GB,2660,SSD
Aireye S1 240GB SSD,223.6 GB,2638,SSD
Aireye S2 128GB SSD,119.2 GB,3681,SSD
Aireye S2 256GB SSD,238.5 GB,4138,SSD
AITC FZKM SSD 256GB,238.5 GB,10851,SSD
AITC KSM 256GB SSD,238.5 GB,4000,SSD
AITC ST100-240GB,223.6 GB,3350,SSD
AJ-A300-NGFF-256GB,238.5 GB,3466,SSD
AK-800-120GB,111.8 GB,3816,SSD
ALK-MSA-128GB,119.2 GB,1801,SSD
ALLIED SSD 240GB,223.6 GB,3517,SSD
ALSEYE 256GB,238.5 GB,4472,SSD
Amazon Elastic Block Store,150 GB,4955,SSD
Amazon Elastic Block Store,200 GB,3053,SSD
Amazon Elastic Block Store,500 GB,2709,SSD
Amazon Elastic Block Store,580 GB,2270,SSD
Amazon Elastic Block Store,256 GB,1908,SSD
Amazon Elastic Block Store,50 GB,1595,SSD
Amazon Elastic Block Store,100 GB,1295,SSD
Amazon Elastic Block Store,30 GB,1223,SSD
AMD R5M120G8,111.8 GB,2783,SSD
AMD R5SL120G,111.8 GB,3085,SSD
AMD R5SL128G,119.2 GB,2652,SSD
AMD R5SL240G,223.6 GB,2908,SSD
AMD R5SL256G,238.5 GB,2394,SSD
AMD R5SL480G,447.1 GB,3228,SSD
AMD R5SL512G,476.9 GB,2576,SSD
ANACOMDA N2 480GB SSD,447.1 GB,4758,SSD
ANACOMDA QS 480GB SSD,447.1 GB,3545,SSD
ANACOMDA TB 240GB SSD,223.6 GB,2895,SSD
ANACOMDA TS 240GB SSD,223.6 GB,2450,SSD
ANACOMDA TS 480GB SSD,447.1 GB,2421,SSD
Angelbird Crest XTC 240GB,223.6 GB,4068,SSD
Ant Esports 690 NEO Pro M.2 NVMe 256GB,238.5 GB,13669,SSD
AOKZOE A1,476.9 GB,22246,SSD
AOKZOE A1 4.0,1.9 TB,49358,SSD
AORUS Gen4 7300 SSD 1TB,931.5 GB,48407,SSD
AORUS Gen5 10000 SSD 1TB,931.5 GB,63754,SSD
AORUS Gen5 10000 SSD 2TB,1.8 TB,62486,SSD
AOSENKE SSD 512GB,476.9 GB,3481,SSD
AP128GPB44801-07 PB4480 128GB,119.2 GB,8522,SSD
AP1TPD4480-02 PD4480 1TB,953.9 GB,28455,SSD
AP2KPA3480E-H301 PA3480 512GB,476.9 GB,16301,SSD
AP512GPD4480-0G PD4480 512GB,476.9 GB,23062,SSD
Apacer A S330 120GB,111.8 GB,3256,SSD
Apacer A S330 240GB,223.6 GB,1109,HDD
Apacer A S350 256GB,238.5 GB,4052,SSD
Apacer A S510S 128GB,119.2 GB,1465,SSD
Apacer A S510S 64GB,59.6 GB,2537,SSD
Apacer A S610S 120GB,111.8 GB,3723,SSD
Apacer A ST680S 240GB,223.6 GB,1096,SSD
Apacer A ST680S 64GB,59.6 GB,1595,SSD
Apacer A7202,59.6 GB,900,HDD
Apacer AS203 128GB,119.2 GB,620,SSD
Apacer AS203 256GB,238.5 GB,1255,SSD
Apacer AS220 128GB,119.2 GB,1492,SSD
Apacer AS220 256GB,238.5 GB,3144,SSD
Apacer AS220 32GB,29.8 GB,823,SSD
Apacer AS220 64GB,59.6 GB,4363,SSD
Apacer AS2242 120GB,111.8 GB,3035,SSD
Apacer AS2280 128GB,119.2 GB,2347,SSD
Apacer AS2280 240GB,223.6 GB,3500,SSD
Apacer AS2280P2 120GB,111.8 GB,5898,SSD
Apacer AS2280P2 240GB,223.6 GB,9395,SSD
Apacer AS2280P2 480GB,447.1 GB,9859,SSD
Apacer AS2280P4 1TB,953.9 GB,17591,SSD
Apacer AS2280P4 240GB,223.6 GB,11396,SSD
Apacer AS2280P4 256GB,238.5 GB,12704,SSD
Apacer AS2280P4 480GB,447.1 GB,15004,SSD
Apacer AS2280P4 512GB,476.9 GB,15226,HDD
Apacer AS2280P4U 1TB,953.9 GB,22101,SSD
Apacer AS2280P4U 256GB,238.5 GB,14294,HDD
Apacer AS2280P4U 2TB,1.9 TB,22840,SSD
Apacer AS2280P4U 512GB,476.9 GB,19916,SSD
Apacer AS2280Q4 1000GB,931.5 GB,26688,SSD
Apacer AS2280Q4 1TB,931.5 GB,33479,SSD
Apacer AS2280Q4 2000GB,1.8 TB,25198,SSD
Apacer AS2280Q4 2TB,1.8 TB,39617,SSD
Apacer AS2280Q4 500GB,465.8 GB,27444,SSD
Apacer AS2280Q4L 512GB,476.9 GB,22228,SSD
Apacer AS2280Q4U 1TB,931.5 GB,41274,SSD
Apacer AS2280Q4U 2TB,1.8 TB,50452,SSD
Apacer AS2280Q4U 512GB,476.9 GB,34550,SSD
Apacer AS330 120GB,119.2 GB,3772,SSD
Apacer AS330 120GB,111.8 GB,3023,SSD
Apacer AS330 240GB,223.6 GB,3815,SSD
Apacer AS330 480GB,447.1 GB,4253,SSD
Apacer AS340 120GB,111.8 GB,2855,SSD
Apacer AS340 120GB,119.2 GB,2412,SSD
Apacer AS340 220GB,205 GB,3889,SSD
Apacer AS340 240GB,223.6 GB,3152,SSD
Apacer AS340 480GB,447.1 GB,3513,SSD
Apacer AS340 960GB,894.3 GB,5915,SSD
Apacer AS350 120GB,111.8 GB,2499,SSD
Apacer AS350 128GB,119.2 GB,2767,SSD
Apacer AS350 1TB,953.9 GB,3473,SSD
Apacer AS350 240GB,223.6 GB,2931,SSD
Apacer AS350 256GB,223.6 GB,4050,SSD
Apacer AS350 256GB,238.5 GB,3243,SSD
Apacer AS350 480GB,447.1 GB,3319,SSD
Apacer AS350 512GB,476.9 GB,3311,SSD
Apacer AS450 120GB,111.8 GB,2586,SSD
Apacer AS450 240GB,223.6 GB,3266,SSD
Apacer AS510S 128GB,119.2 GB,1518,SSD
Apacer AS510S 480GB,447.1 GB,2075,SSD
Apacer AS510S 64GB,59.6 GB,2436,SSD
Apacer AS610 120GB,111.8 GB,2256,SSD
Apacer AS610 240GB,223.6 GB,2625,HDD
Apacer AS610S 120GB,111.8 GB,3110,SSD
Apacer AS610S 240GB,223.6 GB,4048,SSD
Apacer AS681 120GB,111.8 GB,3360,SSD
Apacer AS681 120GB,119.2 GB,1084,SSD
Apacer AS681 240GB,223.6 GB,3464,SSD
Apacer AS681 480GB,447.1 GB,4223,SSD
Apacer AS710 256GB,238.5 GB,4748,SSD
Apacer AST 280 480GB,447.1 GB,2197,SSD
Apacer AST220 120GB,111.8 GB,3941,SSD
Apacer AST280 120GB,111.8 GB,2941,SSD
Apacer AST280 240GB,223.6 GB,3244,SSD
Apacer AST280 480GB,447.1 GB,3745,SSD
Apacer AST680S 128GB,119.2 GB,811,SSD
Apacer AST680S 240GB,223.6 GB,2499,SSD
Apacer AST680S 480GB,447.1 GB,4356,SSD
Apacer SM210 M280 512GB,476.9 GB,25747,SSD
Apacer SM230 25 1TB,953.9 GB,3743,SSD
Apacer Z280 240G,223.6 GB,10187,SSD
APOLLO SSD 1TB,953.9 GB,2936,SSD
