gpu_name,g3d_mark,g2d_mark,tdp,vram,category
GeForce GTX 570M,1864,358,75,1536 MB,Mobile
GeForce GTX 460M,1214,257,50,1536 MB,Mobile
Quadro FX 4800,994,62,150,1536 MB,Workstation
GeForce GT 445M,811,203,35,1536 MB,Mobile
GeForce GT 635M,553,171,35,1536 MB,Mobile
GeForce GT 130,381,109,75,1536 MB,Desktop
GeForce 9600 GSO,328,97,84,1536 MB,Desktop
GeForce GTX 470,3119,413,215,1280 MB,Desktop
Radeon R7 260,2892,559,95,1024 MB,Desktop
GeForce GTX 560,2769,432,150,1024 MB,Desktop
GeForce GTX 465,2654,465,200,1024 MB,Desktop
Radeon HD 6950,2599,442,200,1024 MB,Desktop
GeForce GTX 460 SE,1986,360,150,1024 MB,Desktop
Radeon HD 6850,1962,433,127,1024 MB,Desktop
GeForce GTX 560 SE,1914,423,150,1024 MB,Desktop
GeForce GTX 645,1887,429,64,1024 MB,Desktop
GeForce GTX 460 v2,1866,422,160,1024 MB,Desktop
Radeon HD 5830,1733,403,175,1024 MB,Desktop
Radeon HD 6790,1589,366,150,1024 MB,Desktop
GeForce GTX 555,1572,447,150,1024 MB,Desktop
GeForce GTX 285,1501,68,204,1024 MB,Desktop
GeForce GT 740,1474,347,64,1024 MB,Desktop
GeForce GTS 450,1319,309,106,1024 MB,Desktop
FirePro M5950,1314,574,NA,1024 MB,Workstation
Radeon HD 4870 X2,1309,565,286,1024 MB,Desktop
GeForce GTX 280,1285,59,236,1024 MB,Desktop
Radeon HD 6770,1256,317,108,1024 MB,Desktop
FirePro 3D V5800,1232,339,74,1024 MB,Workstation
FirePro 3D V8700,1206,515,151,1024 MB,Workstation
Radeon HD 7730,1202,390,47,1024 MB,Desktop
GeForce GPU,1179,159,NA,1024 MB,Mobile
Radeon HD 5750,1168,338,86,1024 MB,Desktop
FireStream 9250,1165,465,150,1024 MB,Workstation
Radeon HD 4850 X2,1132,542,250,1024 MB,Desktop
Mobility Radeon HD 5870,1092,224,50,1024 MB,Mobile
Radeon HD 6750,1046,278,86,1024 MB,Desktop
FirePro V4900,993,319,75,1024 MB,Workstation
Radeon HD 6770M,964,572,NA,1024 MB,Mobile
Quadro 2000,947,302,62,1024 MB,Workstation
Radeon HD 6750M,937,487,NA,1024 MB,Mobile
Mobility Radeon HD 4850,866,472,NA,1024 MB,Mobile
FirePro 3D V4800,854,324,69,1024 MB,Workstation
Radeon HD 4830,844,56,95,1024 MB,Desktop
FireGL V8600,839,406,NA,1024 MB,Workstation
Quadro FX 3800,823,47,108,1024 MB,Workstation
Radeon HD 3850 X2,822,422,349,1024 MB,Desktop
Radeon HD 7670,808,327,66,1024 MB,Desktop
Mobility Radeon HD 5850,763,403,31,1024 MB,Mobile
Radeon HD 6650M,753,222,NA,1024 MB,Mobile
GeForce GT 340,738,242,69,1024 MB,Desktop
Quadro K420,735,287,41,1024 MB,Workstation
Quadro K600,729,277,41,1024 MB,Workstation
Radeon HD 7550M/7650M,729,524,13,1024 MB,Mobile
Mobility Radeon HD 4870,720,416,NA,1024 MB,Mobile
Quadro K610M,701,218,30,1024 MB,Workstation
Radeon HD 7570M/HD 7670M,699,555,25,1024 MB,Mobile
Radeon HD 6630M,685,390,NA,1024 MB,Mobile
GeForce GTS 160M,679,308,60,1024 MB,Mobile
FirePro M7740,665,415,NA,1024 MB,Workstation
Radeon HD 2900 XT,660,397,215,1024 MB,Desktop
GeForce GT 140,658,225,105,1024 MB,Desktop
GeForce GT 555M,653,110,30,1024 MB,Mobile
GeForce GTS 360M,645,53,38,1024 MB,Mobile
Quadro K510M,641,441,30,1024 MB,Workstation
FirePro V3900,640,237,50,1024 MB,Workstation
GeForce GTX 285M,636,128,75,1024 MB,Mobile
Radeon HD 7610M,632,479,20,1024 MB,Mobile
Radeon HD 2900 PRO,628,397,200,1024 MB,Desktop
Radeon HD 7570,610,257,44,1024 MB,Desktop
GeForce GT 430,602,203,49,1024 MB,Desktop
GeForce GTS 250,591,54,150,1024 MB,Desktop
GeForce GTX 280M,576,153,75,1024 MB,Mobile
Quadro FX 3800M,575,42,100,1024 MB,Workstation
Quadro 500M,571,365,35,1024 MB,Workstation
GeForce GT 550M,562,116,32,1024 MB,Mobile
GeForce GTS 240,556,134,120,1024 MB,Desktop
Radeon HD 3870,555,58,106,1024 MB,Desktop
GeForce GTS 250M,554,50,28,1024 MB,Mobile
Radeon HD 6570,547,217,44,1024 MB,Desktop
FirePro 3D V7750,545,468,76,1024 MB,Workstation
Quadro 600,530,232,40,1024 MB,Workstation
GeForce GT 425M,521,172,23,1024 MB,Mobile
Radeon HD 8670M,520,488,NA,1024 MB,Mobile
Mobility Radeon HD 4830,512,285,NA,1024 MB,Mobile
NVS 5200M,509,188,35,1024 MB,Workstation
Mobility Radeon HD 5730,507,151,26,1024 MB,Mobile
GeForce GTS 150M,504,407,NA,1024 MB,Mobile
GeForce GT 240,502,47,69,1024 MB,Desktop
GeForce 9800 GTX+,494,83,141,1024 MB,Desktop
Quadro FX 1800M,494,66,45,1024 MB,Workstation
GeForce 9600 GT,478,44,95,1024 MB,Desktop
GeForce GT 540M,478,90,32,1024 MB,Mobile
Radeon HD 7670M,470,85,20,1024 MB,Mobile
GeForce 8800 GT,466,52,125,1024 MB,Desktop
Radeon HD 7550M,465,403,13,1024 MB,Mobile
Mobility Radeon HD 4670,463,375,NA,1024 MB,Mobile
GeForce GT 320,461,62,43,1024 MB,Desktop
GeForce GT 525M,458,94,20,1024 MB,Mobile
GeForce 9800 GT,456,58,125,1024 MB,Desktop
Quadro FX 3700M,456,88,75,1024 MB,Workstation
GeForce 9800M GTX,454,89,75,1024 MB,Mobile
Mobility Radeon HD 5650,447,149,15,1024 MB,Mobile
Radeon HD 7650M,439,58,20,1024 MB,Mobile
Radeon HD 3850 AGP,432,92,75,1024 MB,Desktop
Radeon HD 7570M,428,191,13,1024 MB,Mobile
GeForce GT 420,426,189,50,1024 MB,Desktop
FirePro M2000,425,206,NA,1024 MB,Workstation
Quadro FX 2800M,415,41,75,1024 MB,Workstation
Radeon HD 7470M,408,393,7,1024 MB,Mobile
Mobility Radeon HD 4650,401,320,NA,1024 MB,Mobile
Radeon HD 3850,393,30,75,1024 MB,Desktop
GeForce GTS 350M,389,85,28,1024 MB,Mobile
Radeon HD 4670,383,36,59,1024 MB,Desktop
GeForce GTX 260M,381,41,65,1024 MB,Mobile
GeForce GT 335M,379,31,28,1024 MB,Mobile
GeForce GT 625,356,189,30,1024 MB,Desktop
Mobility Radeon HD 565v,353,318,NA,1024 MB,Mobile
GeForce GT 705,347,162,29,1024 MB,Desktop
Radeon R5 235,336,164,35,1024 MB,Desktop
Radeon HD 7450M,330,441,7,1024 MB,Mobile
NVS 315,318,180,19.5,1024 MB,Workstation
Mobility Radeon HD 560v,318,366,NA,1024 MB,Mobile
NVS 4200M,294,78,NA,1024 MB,Workstation
Radeon HD 7470,289,152,27,1024 MB,Desktop
GeForce GT 520MX,287,54,20,1024 MB,Mobile
GeForce GT 520M,285,75,12,1024 MB,Mobile
Mobility Radeon HD 5165,284,362,35,1024 MB,Mobile
Radeon R5 235X,277,202,18,1024 MB,Desktop
Radeon HD 6370M,276,401,11,1024 MB,Mobile
Mobility Radeon HD 550v,266,398,NA,1024 MB,Mobile
Radeon HD 8490,263,174,35,1024 MB,Desktop
Radeon HD 4650,248,30,48,1024 MB,Desktop
Radeon HD 8470,247,165,35,1024 MB,Desktop
Quadro FX 5500,242,394,96,1024 MB,Workstation
Quadro NVS 510M,238,111,45,1024 MB,Workstation
Radeon HD 4550,236,429,20,1024 MB,Desktop
Mobility Radeon HD 3670,232,331,NA,1024 MB,Mobile
Radeon HD 6470M,227,105,NA,1024 MB,Mobile
Quadro FX 880M,224,55,35,1024 MB,Workstation
Radeon HD 7450,224,145,18,1024 MB,Desktop
GeForce GT 220,219,45,58,1024 MB,Desktop
GeForce GT 230M,216,38,23,1024 MB,Mobile
GeForce GT 330M,216,42,23,1024 MB,Mobile
Mobility Radeon HD 5450,214,320,11,1024 MB,Mobile
GeForce GT 240M,213,49,23,1024 MB,Mobile
GeForce 7950 GX2,202,413,NA,1024 MB,Desktop
NVS 5100M,200,62,35,1024 MB,Workstation
Mobility Radeon HD 545v,200,270,NA,1024 MB,Mobile
Radeon HD 6430M,193,106,NA,1024 MB,Mobile
Mobility Radeon HD 5430,181,330,7,1024 MB,Mobile
Mobility Radeon HD 530v,175,353,NA,1024 MB,Mobile
GeForce 9400 GT,170,38,50,1024 MB,Desktop
GeForce GT 325M,170,49,23,1024 MB,Mobile
GeForce 9500 GT,167,32,50,1024 MB,Desktop
Radeon HD 4350,153,27,20,1024 MB,Desktop
GeForce GT 120M,151,32,23,1024 MB,Mobile
GeForce 8500 GT,149,32,45,1024 MB,Desktop
Radeon R5 220,148,111,19,1024 MB,Desktop
GeForce GT 130M,145,29,23,1024 MB,Mobile
FirePro 2270,142,173,17,1024 MB,Workstation
Mobility Radeon HD 3650,141,33,NA,1024 MB,Mobile
GeForce 9650M GT,137,57,23,1024 MB,Mobile
GeForce 9600M GS,131,58,20,1024 MB,Mobile
GeForce 8600 GT,123,43,47,1024 MB,Desktop
GeForce 210,122,31,30.5,1024 MB,Desktop
GeForce GT 220M,122,74,14,1024 MB,Mobile
FireGL V7350,111,344,NA,1024 MB,Workstation
GeForce GT 320M,106,35,14,1024 MB,Mobile
